date               ,open  ,high  ,low   ,close
2018-08-27 15:00:00,66.08 ,66.08 ,65.935,66.06
2018-08-27 16:00:00,66.06 ,66.105,66.0  ,66.065
2018-08-27 17:00:00,66.065,66.14 ,66.05 ,66.06
2018-08-27 18:00:00,66.06 ,66.075,66.04 ,66.055
2018-08-27 19:00:00,66.055,66.065,65.995,66.055
2018-08-27 20:00:00,66.055,66.055,66.055,66.055
2018-08-28 14:00:00,66.33 ,66.385,66.11 ,66.325
2018-08-28 15:00:00,66.325,66.36 ,66.01 ,66.01
2018-08-28 16:00:00,66.01 ,66.01 ,65.765,65.865
2018-08-28 17:00:00,65.855,65.885,65.8  ,65.845
2018-08-28 18:00:00,65.845,65.845,65.78 ,65.815
2018-08-28 19:00:00,65.815,65.84 ,65.74 ,65.76
2018-08-28 20:00:00,65.76 ,65.76 ,65.76 ,65.76
2018-08-29 14:00:00,65.865,65.935,65.7  ,65.92
2018-08-29 15:00:00,65.925,66.16 ,65.915,66.08
2018-08-29 16:00:00,66.08 ,66.32 ,66.08 ,66.32
2018-08-29 17:00:00,66.34 ,66.36 ,66.26 ,66.335
2018-08-29 18:00:00,66.335,66.36 ,66.245,66.28
2018-08-29 19:00:00,66.28 ,66.36 ,66.235,66.25
2018-08-29 20:00:00,66.25 ,66.25 ,66.25 ,66.25
2018-08-30 14:00:00,66.2  ,66.36 ,66.14 ,66.32
2018-08-30 15:00:00,66.37 ,66.395,66.02 ,66.035
2018-08-30 16:00:00,66.035,66.14 ,65.99 ,66.12
2018-08-30 17:00:00,66.11 ,66.395,66.11 ,66.36
2018-08-30 18:00:00,66.365,66.41 ,66.175,66.3
